time,gFx,gFy,gFz
2024-01-01 15:3:45.9190,0.072,-0.777,-0.616,0.994
2024-01-01 15:3:45.9290,0.08,-0.779,-0.61,0.993
2024-01-01 15:3:45.9390,0.075,-0.782,-0.62,1.001
2024-01-01 15:3:45.9490,0.076,-0.777,-0.626,1.001
2024-01-01 15:3:45.9590,0.076,-0.775,-0.618,0.994
2024-01-01 15:3:45.9690,0.078,-0.775,-0.621,0.996
2024-01-01 15:3:45.9840,0.078,-0.775,-0.625,0.999
2024-01-01 15:3:46.0030,0.079,-0.779,-0.62,0.999
2024-01-01 15:3:46.0040,0.079,-0.779,-0.62,0.999
2024-01-01 15:3:46.0090,0.072,-0.781,-0.624,1.002
2024-01-01 15:3:46.0220,0.07,-0.783,-0.627,1.006
2024-01-01 15:3:46.0290,0.072,-0.783,-0.622,1.003
2024-01-01 15:3:46.0390,0.068,-0.78,-0.616,0.996
2024-01-01 15:3:46.0480,0.067,-0.779,-0.619,0.997
2024-01-01 15:3:46.0590,0.069,-0.779,-0.623,1.0
2024-01-01 15:3:46.0690,0.072,-0.776,-0.622,0.997
2024-01-01 15:3:46.0780,0.071,-0.775,-0.622,0.996
2024-01-01 15:3:46.1010,0.074,-0.776,-0.62,0.996
2024-01-01 15:3:46.1020,0.074,-0.776,-0.62,0.996
2024-01-01 15:3:46.1080,0.069,-0.774,-0.623,0.996
2024-01-01 15:3:46.1210,0.069,-0.776,-0.626,0.999
2024-01-01 15:3:46.1280,0.069,-0.778,-0.626,1.001
2024-01-01 15:3:46.1380,0.069,-0.778,-0.623,0.999
2024-01-01 15:3:46.1480,0.069,-0.776,-0.621,0.996
2024-01-01 15:3:46.1580,0.068,-0.775,-0.621,0.995
2024-01-01 15:3:46.1690,0.067,-0.763,-0.627,0.99
2024-01-01 15:3:46.1830,0.079,-0.769,-0.636,1.001
2024-01-01 15:3:46.2020,0.074,-0.77,-0.617,0.989
2024-01-01 15:3:46.2030,0.074,-0.77,-0.617,0.989
2024-01-01 15:3:46.2070,0.071,-0.768,-0.629,0.995
2024-01-01 15:3:46.2210,0.072,-0.772,-0.631,1.0
2024-01-01 15:3:46.2270,0.072,-0.774,-0.625,0.997
2024-01-01 15:3:46.2370,0.072,-0.777,-0.622,0.998
2024-01-01 15:3:46.2470,0.07,-0.777,-0.626,1.0
2024-01-01 15:3:46.2570,0.068,-0.777,-0.626,1.0
2024-01-01 15:3:46.2680,0.069,-0.781,-0.626,1.003
2024-01-01 15:3:46.2820,0.069,-0.782,-0.626,1.004
2024-01-01 15:3:46.3000,0.068,-0.781,-0.627,1.004
2024-01-01 15:3:46.3000,0.068,-0.781,-0.627,1.004
2024-01-01 15:3:46.3070,0.07,-0.782,-0.629,1.006
2024-01-01 15:3:46.3180,0.07,-0.778,-0.627,1.002
2024-01-01 15:3:46.3270,0.07,-0.78,-0.625,1.002
2024-01-01 15:3:46.3370,0.07,-0.779,-0.626,1.002
2024-01-01 15:3:46.3470,0.069,-0.779,-0.629,1.004
2024-01-01 15:3:46.3570,0.068,-0.78,-0.626,1.002
2024-01-01 15:3:46.3670,0.07,-0.779,-0.625,1.001
2024-01-01 15:3:46.3760,0.07,-0.779,-0.626,1.002
2024-01-01 15:3:46.4020,0.069,-0.778,-0.622,0.998
2024-01-01 15:3:46.4020,0.069,-0.778,-0.622,0.998
2024-01-01 15:3:46.4060,0.068,-0.778,-0.621,0.998
2024-01-01 15:3:46.4160,0.068,-0.775,-0.622,0.996
2024-01-01 15:3:46.4260,0.07,-0.774,-0.62,0.994
2024-01-01 15:3:46.4360,0.07,-0.776,-0.619,0.995
2024-01-01 15:3:46.4470,0.066,-0.776,-0.624,0.998
2024-01-01 15:3:46.4560,0.061,-0.776,-0.627,1.0
2024-01-01 15:3:46.4660,0.063,-0.775,-0.625,0.998
2024-01-01 15:3:46.4770,0.068,-0.772,-0.623,0.994
2024-01-01 15:3:46.4980,0.065,-0.776,-0.623,0.997
2024-01-01 15:3:46.4990,0.065,-0.776,-0.623,0.997
2024-01-01 15:3:46.5060,0.067,-0.776,-0.623,0.997
2024-01-01 15:3:46.5160,0.067,-0.775,-0.625,0.998
2024-01-01 15:3:46.5260,0.068,-0.775,-0.626,0.999
2024-01-01 15:3:46.5360,0.069,-0.776,-0.628,1.001
2024-01-01 15:3:46.5460,0.069,-0.777,-0.626,1.0
2024-01-01 15:3:46.5560,0.067,-0.778,-0.627,1.001
2024-01-01 15:3:46.5660,0.066,-0.779,-0.628,1.003
2024-01-01 15:3:46.5760,0.064,-0.78,-0.627,1.003
2024-01-01 15:3:46.6010,0.066,-0.782,-0.627,1.004
2024-01-01 15:3:46.6010,0.066,-0.782,-0.627,1.004
2024-01-01 15:3:46.6050,0.07,-0.781,-0.626,1.003
2024-01-01 15:3:46.6150,0.065,-0.777,-0.623,0.998
2024-01-01 15:3:46.6250,0.067,-0.777,-0.624,0.999
2024-01-01 15:3:46.6350,0.069,-0.779,-0.631,1.005
2024-01-01 15:3:46.6450,0.068,-0.782,-0.63,1.007
2024-01-01 15:3:46.6550,0.067,-0.784,-0.626,1.005
2024-01-01 15:3:46.6650,0.067,-0.786,-0.626,1.007
2024-01-01 15:3:46.6750,0.072,-0.787,-0.628,1.009
2024-01-01 15:3:46.7010,0.072,-0.779,-0.628,1.003
2024-01-01 15:3:46.7010,0.072,-0.779,-0.628,1.003
2024-01-01 15:3:46.7050,0.073,-0.778,-0.629,1.003
2024-01-01 15:3:46.7150,0.072,-0.777,-0.633,1.005
2024-01-01 15:3:46.7250,0.067,-0.773,-0.633,1.001
2024-01-01 15:3:46.7340,0.064,-0.773,-0.633,1.001
2024-01-01 15:3:46.7450,0.065,-0.772,-0.634,1.001
2024-01-01 15:3:46.7540,0.065,-0.771,-0.628,0.997
2024-01-01 15:3:46.7640,0.068,-0.775,-0.625,0.998
2024-01-01 15:3:46.7740,0.068,-0.778,-0.623,0.999
2024-01-01 15:3:46.7990,0.065,-0.783,-0.615,0.998
2024-01-01 15:3:46.8000,0.065,-0.783,-0.615,0.998
2024-01-01 15:3:46.8040,0.063,-0.783,-0.614,0.997
2024-01-01 15:3:46.8140,0.064,-0.784,-0.611,0.996
2024-01-01 15:3:46.8240,0.065,-0.786,-0.613,0.999
2024-01-01 15:3:46.8340,0.064,-0.789,-0.612,1.001
2024-01-01 15:3:46.8440,0.063,-0.791,-0.612,1.002
2024-01-01 15:3:46.8540,0.06,-0.791,-0.612,1.002
2024-01-01 15:3:46.8640,0.064,-0.792,-0.609,1.001
2024-01-01 15:3:46.8790,0.067,-0.793,-0.61,1.003
2024-01-01 15:3:46.9020,0.07,-0.789,-0.612,1.001
2024-01-01 15:3:46.9030,0.067,-0.787,-0.613,1.0
2024-01-01 15:3:46.9050,0.067,-0.787,-0.613,1.0
2024-01-01 15:3:46.9130,0.067,-0.786,-0.615,1.0
2024-01-01 15:3:46.9230,0.068,-0.784,-0.616,0.999
2024-01-01 15:3:46.9340,0.064,-0.785,-0.616,1.0
2024-01-01 15:3:46.9430,0.064,-0.784,-0.617,1.0
2024-01-01 15:3:46.9540,0.061,-0.786,-0.614,0.999
2024-01-01 15:3:46.9630,0.06,-0.788,-0.614,1.001
2024-01-01 15:3:46.9730,0.057,-0.788,-0.618,1.003
2024-01-01 15:3:47.0010,0.056,-0.786,-0.615,1.0
2024-01-01 15:3:47.0010,0.056,-0.786,-0.615,1.0
2024-01-01 15:3:47.0030,0.053,-0.785,-0.617,1.0
2024-01-01 15:3:47.0130,0.05,-0.785,-0.618,1.0
2024-01-01 15:3:47.0230,0.048,-0.782,-0.618,0.998
2024-01-01 15:3:47.0340,0.055,-0.78,-0.617,0.996
2024-01-01 15:3:47.0430,0.059,-0.78,-0.613,0.994
2024-01-01 15:3:47.0530,0.06,-0.778,-0.613,0.992
2024-01-01 15:3:47.0630,0.06,-0.774,-0.621,0.994
2024-01-01 15:3:47.0730,0.063,-0.771,-0.623,0.993
2024-01-01 15:3:47.1000,0.064,-0.777,-0.619,0.995
2024-01-01 15:3:47.1000,0.064,-0.777,-0.619,0.995
2024-01-01 15:3:47.1020,0.063,-0.773,-0.62,0.993
2024-01-01 15:3:47.1120,0.064,-0.773,-0.619,0.992
2024-01-01 15:3:47.1220,0.065,-0.775,-0.62,0.995
2024-01-01 15:3:47.1340,0.064,-0.773,-0.618,0.992
2024-01-01 15:3:47.1420,0.063,-0.774,-0.617,0.992
2024-01-01 15:3:47.1530,0.062,-0.777,-0.617,0.994
2024-01-01 15:3:47.1620,0.059,-0.779,-0.614,0.994
2024-01-01 15:3:47.1720,0.055,-0.781,-0.614,0.995
2024-01-01 15:3:47.1820,0.053,-0.784,-0.61,0.995
2024-01-01 15:3:47.2010,0.056,-0.784,-0.611,0.996
2024-01-01 15:3:47.2020,0.056,-0.784,-0.611,0.996
2024-01-01 15:3:47.2120,0.059,-0.783,-0.61,0.994
2024-01-01 15:3:47.2220,0.06,-0.782,-0.61,0.994
2024-01-01 15:3:47.2320,0.058,-0.785,-0.616,1.0
2024-01-01 15:3:47.2420,0.054,-0.783,-0.62,1.0
2024-01-01 15:3:47.2520,0.055,-0.782,-0.62,0.999
2024-01-01 15:3:47.2620,0.057,-0.782,-0.614,0.996
2024-01-01 15:3:47.2720,0.06,-0.78,-0.615,0.995
2024-01-01 15:3:47.2820,0.063,-0.775,-0.619,0.994
2024-01-01 15:3:47.3000,0.064,-0.767,-0.626,0.992
2024-01-01 15:3:47.3020,0.064,-0.767,-0.626,0.992
2024-01-01 15:3:47.3110,0.062,-0.761,-0.628,0.989
2024-01-01 15:3:47.3210,0.063,-0.76,-0.633,0.991
2024-01-01 15:3:47.3310,0.057,-0.758,-0.636,0.991
2024-01-01 15:3:47.3410,0.054,-0.759,-0.642,0.996
2024-01-01 15:3:47.3510,0.053,-0.759,-0.644,0.997
2024-01-01 15:3:47.3610,0.048,-0.756,-0.646,0.996
2024-01-01 15:3:47.3760,0.045,-0.753,-0.646,0.993
