time,gFx,gFy,gFz
2024-04-13 18:49:39.7490,0.11,-0.849,-0.535,1.01
2024-04-13 18:49:39.7600,0.109,-0.848,-0.533,1.008
2024-04-13 18:49:39.7690,0.105,-0.843,-0.532,1.002
2024-04-13 18:49:39.7840,0.102,-0.838,-0.534,0.999
2024-04-13 18:49:39.8060,0.101,-0.833,-0.534,0.995
2024-04-13 18:49:39.8060,0.101,-0.833,-0.534,0.995
2024-04-13 18:49:39.8090,0.101,-0.832,-0.535,0.994
2024-04-13 18:49:39.8190,0.1,-0.833,-0.535,0.995
2024-04-13 18:49:39.8290,0.103,-0.834,-0.537,0.997
2024-04-13 18:49:39.8390,0.104,-0.834,-0.534,0.996
2024-04-13 18:49:39.8490,0.103,-0.833,-0.534,0.995
2024-04-13 18:49:39.8590,0.101,-0.838,-0.534,0.999
2024-04-13 18:49:39.8690,0.098,-0.839,-0.535,1.0
2024-04-13 18:49:39.8830,0.099,-0.84,-0.536,1.001
2024-04-13 18:49:39.9050,0.099,-0.841,-0.538,1.003
2024-04-13 18:49:39.9050,0.099,-0.841,-0.538,1.003
2024-04-13 18:49:39.9080,0.098,-0.841,-0.536,1.002
2024-04-13 18:49:39.9180,0.1,-0.84,-0.537,1.002
2024-04-13 18:49:39.9280,0.102,-0.839,-0.54,1.003
2024-04-13 18:49:39.9380,0.101,-0.836,-0.543,1.002
2024-04-13 18:49:39.9480,0.101,-0.837,-0.543,1.003
2024-04-13 18:49:39.9580,0.102,-0.835,-0.543,1.001
2024-04-13 18:49:39.9680,0.102,-0.836,-0.542,1.002
2024-04-13 18:49:39.9830,0.103,-0.836,-0.539,1.0
2024-04-13 18:49:40.0050,0.104,-0.833,-0.535,0.995
2024-04-13 18:49:40.0060,0.104,-0.833,-0.535,0.995
2024-04-13 18:49:40.0070,0.107,-0.83,-0.535,0.993
2024-04-13 18:49:40.0180,0.106,-0.831,-0.534,0.993
2024-04-13 18:49:40.0280,0.103,-0.836,-0.536,0.998
2024-04-13 18:49:40.0380,0.099,-0.839,-0.535,1.0
2024-04-13 18:49:40.0480,0.094,-0.839,-0.536,1.0
2024-04-13 18:49:40.0580,0.091,-0.837,-0.539,1.0
2024-04-13 18:49:40.0680,0.09,-0.837,-0.542,1.001
2024-04-13 18:49:40.0820,0.094,-0.84,-0.542,1.004
2024-04-13 18:49:40.1040,0.101,-0.84,-0.538,1.003
2024-04-13 18:49:40.1040,0.101,-0.84,-0.538,1.003
2024-04-13 18:49:40.1070,0.104,-0.839,-0.537,1.002
2024-04-13 18:49:40.1170,0.104,-0.838,-0.535,1.0
2024-04-13 18:49:40.1270,0.103,-0.84,-0.535,1.001
2024-04-13 18:49:40.1370,0.087,-0.816,-0.422,0.923
2024-04-13 18:49:40.1470,0.114,-0.818,-0.28,0.872
2024-04-13 18:49:40.1570,0.168,-0.851,-0.591,1.05
2024-04-13 18:49:40.1670,0.076,-0.829,-0.875,1.208
2024-04-13 18:49:40.1820,0.017,-0.822,-0.645,1.045
2024-04-13 18:49:40.2060,0.088,-0.828,-0.525,0.984
2024-04-13 18:49:40.2060,0.088,-0.828,-0.525,0.984
2024-04-13 18:49:40.2070,0.088,-0.828,-0.525,0.984
2024-04-13 18:49:40.2160,0.088,-0.818,-0.514,0.97
2024-04-13 18:49:40.2260,0.139,-0.833,-0.501,0.982
2024-04-13 18:49:40.2370,0.174,-0.859,-0.487,1.003
2024-04-13 18:49:40.2470,0.162,-0.851,-0.492,0.996
2024-04-13 18:49:40.2570,0.142,-0.826,-0.529,0.991
2024-04-13 18:49:40.2670,0.12,-0.814,-0.555,0.992
2024-04-13 18:49:40.2810,0.1,-0.803,-0.581,0.996
2024-04-13 18:49:40.3060,0.08,-0.838,-0.54,1.0
2024-04-13 18:49:40.3060,0.08,-0.838,-0.54,1.0
2024-04-13 18:49:40.3060,0.08,-0.838,-0.54,1.0
2024-04-13 18:49:40.3160,0.107,-0.833,-0.545,1.001
2024-04-13 18:49:40.3260,0.121,-0.819,-0.537,0.987
2024-04-13 18:49:40.3370,0.116,-0.796,-0.509,0.952
2024-04-13 18:49:40.3460,0.117,-0.832,-0.519,0.988
2024-04-13 18:49:40.3560,0.082,-0.788,-0.492,0.933
2024-04-13 18:49:40.3660,0.106,-0.816,-0.515,0.971
2024-04-13 18:49:40.3810,0.092,-0.833,-0.398,0.928
