time,gFx,gFy,gFz
2024-04-13 18:49:37.9990,0.142,-0.879,-0.508,1.025
2024-04-13 18:49:38.0250,0.138,-0.895,-0.511,1.04
2024-04-13 18:49:38.0250,0.138,-0.895,-0.511,1.04
2024-04-13 18:49:38.0280,0.135,-0.9,-0.507,1.042
2024-04-13 18:49:38.0380,0.135,-0.899,-0.502,1.038
2024-04-13 18:49:38.0480,0.131,-0.894,-0.499,1.032
2024-04-13 18:49:38.0590,0.129,-0.888,-0.498,1.026
2024-04-13 18:49:38.0680,0.128,-0.877,-0.499,1.017
2024-04-13 18:49:38.0780,0.123,-0.87,-0.492,1.007
2024-04-13 18:49:38.1070,0.114,-0.836,-0.507,0.984
2024-04-13 18:49:38.1070,0.114,-0.836,-0.507,0.984
2024-04-13 18:49:38.1080,0.112,-0.823,-0.5,0.969
2024-04-13 18:49:38.1180,0.111,-0.807,-0.504,0.958
2024-04-13 18:49:38.1280,0.111,-0.798,-0.515,0.956
2024-04-13 18:49:38.1380,0.107,-0.794,-0.515,0.952
2024-04-13 18:49:38.1480,0.099,-0.796,-0.52,0.956
2024-04-13 18:49:38.1580,0.091,-0.803,-0.53,0.966
2024-04-13 18:49:38.1680,0.086,-0.814,-0.531,0.976
2024-04-13 18:49:38.1780,0.083,-0.826,-0.529,0.984
2024-04-13 18:49:38.2100,0.094,-0.855,-0.525,1.008
2024-04-13 18:49:38.2100,0.094,-0.855,-0.525,1.008
2024-04-13 18:49:38.2100,0.094,-0.855,-0.525,1.008
2024-04-13 18:49:38.2170,0.1,-0.861,-0.519,1.01
2024-04-13 18:49:38.2270,0.103,-0.863,-0.514,1.01
2024-04-13 18:49:38.2370,0.103,-0.858,-0.509,1.003
2024-04-13 18:49:38.2480,0.1,-0.853,-0.514,1.001
2024-04-13 18:49:38.2580,0.097,-0.847,-0.519,0.998
2024-04-13 18:49:38.2680,0.088,-0.842,-0.524,0.996
2024-04-13 18:49:38.2780,0.083,-0.838,-0.525,0.992
2024-04-13 18:49:38.3100,0.075,-0.829,-0.537,0.991
2024-04-13 18:49:38.3100,0.075,-0.829,-0.537,0.991
2024-04-13 18:49:38.3100,0.075,-0.829,-0.537,0.991
2024-04-13 18:49:38.3170,0.08,-0.831,-0.53,0.989
2024-04-13 18:49:38.3270,0.084,-0.834,-0.529,0.991
2024-04-13 18:49:38.3370,0.088,-0.843,-0.536,1.003
2024-04-13 18:49:38.3470,0.091,-0.849,-0.532,1.006
2024-04-13 18:49:38.3570,0.094,-0.847,-0.525,1.001
2024-04-13 18:49:38.3670,0.099,-0.848,-0.529,1.004
2024-04-13 18:49:38.3770,0.104,-0.851,-0.536,1.011
2024-04-13 18:49:38.4100,0.112,-0.862,-0.523,1.014
2024-04-13 18:49:38.4100,0.112,-0.862,-0.523,1.014
2024-04-13 18:49:38.4110,0.112,-0.862,-0.523,1.014
2024-04-13 18:49:38.4160,0.106,-0.865,-0.533,1.022
2024-04-13 18:49:38.4260,0.103,-0.862,-0.534,1.019
2024-04-13 18:49:38.4360,0.099,-0.854,-0.532,1.011
2024-04-13 18:49:38.4470,0.094,-0.844,-0.538,1.005
2024-04-13 18:49:38.4560,0.096,-0.832,-0.545,0.999
2024-04-13 18:49:38.4660,0.099,-0.821,-0.544,0.99
2024-04-13 18:49:38.4760,0.102,-0.814,-0.542,0.983
2024-04-13 18:49:38.5090,0.112,-0.819,-0.545,0.99
2024-04-13 18:49:38.5090,0.112,-0.819,-0.545,0.99
2024-04-13 18:49:38.5090,0.112,-0.819,-0.545,0.99
2024-04-13 18:49:38.5160,0.115,-0.827,-0.549,0.999
